sample_name	ct_artifact_out_of_ct_snv	ct_artifact_out_of_all_snv	dataset
Pat01_Meta_FFPE_ERR791893	0.970588235294118	0.388235294117647	PRJEB8754
Pat10_Meta_FFPE_ERR791903	0.923076923076923	0.285714285714286	PRJEB8754
Pat11_Meta_FFPE_ERR791905	0.96551724137931	0.394366197183099	PRJEB8754
Pat12_Meta_FFPE_ERR791907	0.951219512195122	0.5	PRJEB8754
Pat14_Meta_FFPE_ERR791909	0.970588235294118	0.347368421052632	PRJEB8754
